"","affy_hg_u133_plus_2","external_gene_name"
"744","201002_s_at","PEDS1-UBE2V1"
"745","201001_s_at","UBE2V1"
"746","201002_s_at","UBE2V1"
"747","201037_at","PFKP"
"748","203747_at","AQP3"
"749","202716_at","PTPN1"
"750","202792_s_at","PPP6R2"
"751","202791_s_at","PPP6R2"
"752","204054_at","PTENP1"
"753","204053_x_at","PTENP1"
"754","201773_at","ADNP"
"755","202673_at","DPM1"
"756","202701_at","BMP1"
"757","201683_x_at","TOX4"
"758","201685_s_at","TOX4"
"759","201684_s_at","TOX4"
"760","204246_s_at","DCTN3"
"761","201692_at","SIGMAR1"
"762","203179_at","GALT"
"763","204151_x_at","AKR1C1"
"764","204151_x_at","AKR1C2"
"765","203179_at","IL11RA"
"766","204773_at","IL11RA"
"767","204858_s_at","SCO2"
"768","204858_s_at","TYMP"
"769","203314_at","GTPBP6"
"770","203739_at","ZNF217"
"771","204378_at","BCAS1"
"772","204606_at","CCL21"
"773","201830_s_at","NET1"
"774","201829_at","NET1"
"775","200088_x_at","RPL12P4"
"776","200809_x_at","RPL12P4"
"777","200046_at","DAD1"
"778","204092_s_at","AURKA"
"779","200009_at","GDI2"
"780","200008_s_at","GDI2"
"781","204193_at","CHKB-CPT1B"
"782","203564_at","FANCG"
"783","204193_at","CHKB"
"784","204588_s_at","SLC7A7"
"785","204443_at","ARSA"
"786","203624_at","AKAP17A"
"787","202190_at","CSTF1"
"788","202893_at","UNC13B"
"789","202828_s_at","MMP14"
"790","202827_s_at","MMP14"
"791","160020_at","MMP14"
"792","201412_at","LRP10"
"793","203043_at","ZBED1"
"794","201028_s_at","CD99"
"795","201029_s_at","CD99"
"796","201558_at","RAE1"
"797","204106_at","TESK1"
"798","202464_s_at","PFKFB3"
"799","204564_at","PCGF3"
"800","204083_s_at","TPM2"
"801","202281_at","GAK"
"802","203254_s_at","TLN1"
"803","204061_at","PRKX"
"804","204060_s_at","PRKX"
"805","203169_at","RGP1"
"806","204310_s_at","NPR2"
"807","203974_at","PUDP"
"808","203767_s_at","STS"
"809","203768_s_at","STS"
"810","203769_s_at","STS"
"811","203770_s_at","STS"
