"","logFC","AveExpr","t","P.Value","adj.P.Val","B","hu_gene_name"
"221815_at",0.119825833623113,5.48327929886094,1.38577022495233,0.187459172770542,0.607070245759259,-5.15224530450553,"ABHD2"
"219243_at",0.076889298871228,8.32204111596964,1.38561593765532,0.187505293512557,0.607070245759259,-5.15243465941624,"GIMAP4"
"201551_s_at",-0.104072439038452,7.69765014517132,-1.385386198664,0.187573986073037,0.607070245759259,-5.15271658617103,"LAMP1"
"78330_at",0.0829942998879876,3.89901592556567,1.38529821316138,0.187600299425672,0.607070245759259,-5.15282454933736,NA
"217973_at",0.0589611211460018,9.72372257379083,1.38526480329287,0.18761029192771,0.607070245759259,-5.15286554378956,"DCXR"
"203249_at",-0.121475701832231,5.67661462633606,-1.38506362701565,0.187670470619611,0.607070245759259,-5.15311237478682,"EZH1"
"219909_at",0.109569843814018,3.39293433118238,1.38499913989354,0.187689764264088,0.607070245759259,-5.15319149089277,"MMP28"
"215351_at",0.106641370425834,3.3254302858627,1.38496615949005,0.18769963216694,0.607070245759259,-5.15323195188129,NA
"207344_at",-0.144061409746654,4.21595687862457,-1.38491500388317,0.187714939022633,0.607070245759259,-5.15329470913624,"AKAP3"
"218956_s_at",-0.0902384169370755,7.16393244077902,-1.3848364550527,0.187738444508342,0.607070245759259,-5.15339106879892,"PTCD1"
"218238_at",-0.0649440739152657,9.88176963687735,-1.38458053243072,0.187815045249495,0.607204105054036,-5.1537049932559,"GTPBP4"
"205716_at",-0.0778338413276672,7.11060325049582,-1.38407990570302,0.187964962877016,0.607574902493023,-5.15431895611455,"SLC25A40"
"201805_at",0.0535428130903327,8.68718070237001,1.3839220569183,0.188012252565335,0.607613890246747,-5.1545125057392,"PRKAG1"
"211040_x_at",0.072405781858273,8.04877325298707,1.38339170119316,0.188171212401156,0.607927920802817,-5.15516269211649,"GTSE1"
"218420_s_at",-0.0673454211272389,7.45548185428556,-1.38311179899365,0.188255149877227,0.607927920802817,-5.1555057616224,"PROSER1"
"202185_at",0.0580920228082598,6.2897943426757,1.38304281623779,0.188275841231561,0.607927920802817,-5.15559030420559,"PLOD3"
"213351_s_at",-0.0842108685987813,5.56266016872283,-1.38302879078374,0.188280048389433,0.607927920802817,-5.15560749287214,"TMCC1"
