ID_REF,3-28-PD1_rep1,3-28-PD1_rep2,3-28-PD1_rep3,3-28-PD1_rep4,3-28-PD1_rep5,3-28-PD1_rep6,3-28_rep1,3-28_rep3,3-28_rep4,3-28_rep5,3-28_rep6
205740_s_at,406.132211,409.5792249,400.7937632,419.3828492,407.996192,410.1492935,407.996192,395.9185589,378.561689,430.360003,423.5056487
205741_s_at,9.783474083,9.714107882,9.318933256,10.7436458,9.589925368,8.479159657,9.455241524,9.534432673,9.534432673,9.534432673,8.933131708
205742_at,27.31378428,21.21667882,28.08541511,22.41520967,33.76094172,25.73506679,25.46418447,26.62313548,26.62313548,26.62313548,27.11031274
205743_at,25.70641053,25.4560159,22.82904633,20.72406825,29.40597165,20.26813087,26.80595459,28.39734473,25.93857928,25.8511456,24.69344906
205744_at,17.51882669,19.12397219,22.69306854,16.24381034,19.12397219,20.19709718,19.12397219,21.59608847,16.83188453,22.19885823,19.12397219
205745_x_at,65.3236033,62.86898552,62.86898552,62.52934412,62.86898552,63.72671,62.55240794,74.33246375,59.11692545,65.03472519,57.17938397
205746_s_at,33.85767344,47.33275492,40.99862847,44.9747414,38.54732104,44.11318646,41.06490269,34.2077048,27.74961683,40.23172525,41.14738704
205747_at,8.008015581,8.190562292,8.008015581,8.52581493,8.420222459,7.533317047,7.935014049,8.18687794,7.354347238,8.008015581,7.372164109
205748_s_at,361.2301967,352.0574955,331.2118849,360.6284334,328.4465129,349.7192139,357.6646707,369.392455,376.1880023,383.1354614,425.5576052
205749_at,9.393392434,10.41379489,11.18808176,9.756776219,10.66618694,10.41379489,10.13817394,10.41379489,10.77700426,12.12531278,13.32819994
205750_at,36.42022264,53.54645025,47.35497056,49.72203641,46.99205557,51.27775517,46.99205557,41.60087599,42.07762338,41.15907155,47.03656873
205751_at,8.621228989,7.741968153,7.956012407,7.956012407,7.266591965,7.011690099,7.86136463,7.404312115,8.043755874,7.467857482,8.534366878
205752_s_at,12.36522376,13.22582922,13.51842617,13.22582922,14.7171793,14.24003141,10.95508266,13.61181611,11.16221787,12.87964719,16.14518418
205753_at,10.76180008,8.635906347,8.56869262,7.49137177,8.596149665,8.896537147,9.036415837,8.635906347,8.842331014,8.806152257,8.201190683
205754_at,12.92995537,11.1979571,11.6952131,11.6952131,11.56075192,12.62650016,11.6952131,11.60027265,12.47068603,11.09888449,11.6952131
205755_at,8.529284104,8.575005733,9.154852911,8.692256755,8.049500571,8.187959108,10.02991545,8.312920221,8.988600214,9.364444389,7.805291713
205756_s_at,258.3192172,297.3646718,303.6927262,317.2310257,299.3630253,311.5277657,294.7488648,300.3913733,296.5015311,298.9114508,308.4181361
205757_at,18.34802477,18.30907981,17.91686481,19.88587013,19.25689745,21.04990333,21.87021803,17.76716427,18.86620945,18.92561834,18.32866046
205758_at,13.73848745,13.73848745,11.33522826,13.73848745,13.42082947,13.73848745,13.41859227,15.64248322,11.96854926,13.73848745,14.76741646
205759_s_at,12.39271395,14.37264552,11.60684667,12.51122566,12.51122566,12.51122566,12.37447525,12.51122566,12.51122566,12.50454181,13.14419422
205760_s_at,37.75524082,48.68399461,50.81675167,48.878508,45.95971029,45.95971029,45.85592921,45.95971029,40.97705916,45.95971029,50.2928269
205761_s_at,317.1160953,312.116654,332.8828492,303.2247971,319.0494183,311.8250363,305.2573428,309.098337,329.7795347,316.9649421,345.103475
205762_s_at,38.30046969,38.08786698,38.98277292,38.30046969,34.46596604,39.43699988,38.25275479,40.7172265,36.63253637,35.18195047,45.5344324
205763_s_at,317.2641375,358.3753603,351.6632316,376.7240333,371.4010321,357.4818927,415.7101252,371.1010276,378.7300913,376.6360053,378.4616187
205764_at,8.85727541,9.559729084,9.525149032,9.828326261,10.15589412,9.410048005,9.016265873,10.43127586,8.89940958,11.21203427,9.123968863
205765_at,14.36035892,11.51861867,12.16288361,12.64964986,13.20884496,11.72119574,12.49309661,12.49309661,11.2024569,13.24572774,12.49309661
205766_at,15.07431325,14.21951729,15.38919795,15.75899746,13.69446444,12.41257765,12.96674411,12.18840466,15.57780985,12.18488463,12.6198817
205767_at,9.622478306,8.277237502,8.217520041,9.42302235,7.044815392,8.529284104,8.277237502,8.674716359,7.366256731,7.904671705,7.574042641
205768_s_at,398.6890449,407.6575231,358.2496065,359.0266737,380.9375359,438.3646662,335.5635545,306.8455426,327.9077139,351.5373957,325.5647711
205769_at,664.9992963,630.5684612,620.2919401,607.4991902,595.9976154,621.9468798,559.1657327,616.9724922,575.0944927,602.9933117,545.3440621
205770_at,318.8828492,314.4727986,327.7555798,350.1428112,334.2065411,295.5392284,328.6953184,277.920789,300.9969305,326.1429913,337.4671225
