"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"1434732_x_at",-0.00260099999999973,9.6548845,-0.0204691139484417,0.984067178009975,0.999954907561919,-5.12782473412231,"Tomm7"
"1455239_at",-0.0016812499999992,6.213722625,-0.0203932719690067,0.98412620315211,0.999954907561919,-5.12782585019904,"Ifitm10"
"1451445_at",-0.00116549999999953,5.898996,-0.0203708177613657,0.984143678490547,0.999954907561919,-5.12782617983628,"Umps"
"1452195_s_at",0.00701000000000021,7.96843375,0.020295088145157,0.98420261631401,0.999954907561919,-5.12782728890157,"Sfi1"
"1449748_at",-0.00191599999999938,4.446273,-0.0201979752036761,0.984278196208827,0.999954907561919,-5.12782870508285,NA
"1448285_at",-0.00142524999999973,4.519387125,-0.0201604038125943,0.984307436863996,0.999954907561919,-5.1278292511578,"Rgs4"
"1448909_a_at",-0.00108799999999664,11.4284985,-0.0201233358617807,0.984336285730976,0.999954907561919,-5.12782978891931,"Mrpl39"
"1417491_at",-0.00201774999999923,6.559205875,-0.0200507547906741,0.984392773455723,0.999954907561919,-5.12783083901991,"Ctsb"
"1427702_at",0.00107000000000071,7.46705175,0.0200493575884541,0.984393860858232,0.999954907561919,-5.12783085919737,"Zfp1"
"1452374_at",0.00176900000000059,8.02623425,0.0199265506595665,0.984489438107529,0.999954907561919,-5.12783262720005,"Zfp322a"
"1418781_at",-0.00106549999999908,8.21763525,-0.0199077632384017,0.984504059862513,0.999954907561919,-5.12783289671718,"Nat9"
"1452428_a_at",-0.000943250000000008,14.680480625,-0.0198843060171861,0.984522316008297,0.999954907561919,-5.12783323286865,"B2m"
"1449712_s_at",-0.000938499999998407,10.95522425,-0.0198031715938431,0.984585460893952,0.999954907561919,-5.12783439250198,"Atp6v1e1"
"1430275_a_at",0.000967500000000628,7.94037925,0.0197913550283267,0.984594657439674,0.999954907561919,-5.12783456099758,"Aqr"
"1437553_at",0.00134950000000047,7.534877,0.0197800854217663,0.984603428302735,0.999954907561919,-5.12783472160026,"Brcc3"
"1415845_at",-0.00169599999999962,5.59264475,-0.0197158710912458,0.984653404808852,0.999954907561919,-5.12783563497049,"Syt4"
"1446147_at",0.00244900000000167,10.0773465,0.019708061291154,0.984659482997688,0.999954907561919,-5.12783574585279,"Rbm39"
"1427445_a_at",0.00128725000000092,6.248517375,0.0197045622264144,0.9846622062401,0.999954907561919,-5.1278357955177,"Ttn"
"1449622_s_at",0.00142250000000219,11.16251025,0.0195990934538808,0.984744290280867,0.999954907561919,-5.1278372883785,"Atp6ap1"
"1426943_at",0.00180700000000153,9.1553635,0.0195346129097674,0.984794474171102,0.999954907561919,-5.12783819712415,"Ints1"
"1451200_at",0.00186975000000109,8.214614125,0.0194926590692109,0.98482712602546,0.999954907561919,-5.12783878678556,"Kif1b"
"1418909_at",0.00143400000000057,6.2171505,0.0194889870246599,0.984829983907382,0.999954907561919,-5.12783883833584,"Ermap"
"1421858_at",-0.00110150000000016,9.25151075,-0.0194720739481777,0.984843147033676,0.999954907561919,-5.12783907564595,"Adam17"
"1453840_at",0.0033085000000008,9.8796385,0.0194539800472746,0.984857229178469,0.999954907561919,-5.12783932929632,"Pabpc1"
"1438621_x_at",0.00111699999999997,4.38326925,0.019408255102398,0.984892816072465,0.999954907561919,-5.12783996924322,NA
"1422346_at",-0.00124349999999947,6.196021,-0.0193275987147371,0.984955589558386,0.999954907561919,-5.12784109440512,"Nkx2-1"
"1426964_at",0.00207874999999999,12.064014125,0.0192690973401034,0.985001120244199,0.999954907561919,-5.12784190757161,"Abracl"
"1445485_at",-0.00160124999999963,4.848347375,-0.0192532196971281,0.985013477569953,0.999954907561919,-5.12784212784487,NA
"1456412_a_at",-0.00121549999999845,9.387146,-0.0192420902411466,0.985022139457145,0.999954907561919,-5.12784228213748,"Inpp5k"
"1450084_s_at",0.00198900000000204,10.69560975,0.0192185431409767,0.985040465815634,0.999954907561919,-5.12784260828741,"Ivns1abp"
"1422827_x_at",0.00105550000000074,8.6665795,0.0191985257906913,0.985056045029357,0.999954907561919,-5.1278428852329,"Slc35a2"
"1435128_at",0.00200875000000093,7.075269625,0.019175547448184,0.985073928748538,0.999954907561919,-5.12784320278875,"Baiap2"
"1455526_at",-0.00119799999999973,8.4562745,-0.0191662244605133,0.985081184700534,0.999954907561919,-5.12784333152203,"Diras1"
"1423474_at",0.00124225000000345,11.067423625,0.0191411012216672,0.985100737775964,0.999954907561919,-5.12784367811604,"Top1"
"1417318_at",-0.00115249999999954,4.69989125,-0.019078024632255,0.985149829473948,0.999954907561919,-5.12784454630177,"Brinp1"
"1449186_at",0.00136900000000041,8.1178565,0.0190668571611354,0.985158520979807,0.999954907561919,-5.1278446997122,"Bag4"
"1455385_at",0.00134425000000176,8.474470375,0.0190557092178537,0.985167197289417,0.999954907561919,-5.12784485276478,"Sh3glb1"
"1416824_at",-0.00116624999999928,6.927746625,-0.0190312433516691,0.985186238784666,0.999954907561919,-5.12784518834833,"B230118H07Rik"
"1451491_at",-0.00153999999999911,6.3356175,-0.0190301062439245,0.985187123782457,0.999954907561919,-5.12784520393487,"Bcdin3d"
"1451322_at",-0.00142974999999969,4.642482625,-0.0189769069940734,0.985228528166094,0.999954907561919,-5.12784593210552,"Cmbl"
"1416768_at",0.00120325000000146,11.011039125,0.018971048313058,0.985233087915085,0.999954907561919,-5.12784601217228,"Smim14"
"1449313_at",-0.00189875000000023,4.634270875,-0.0189438372487939,0.985254266003678,0.999954907561919,-5.12784638372402,"Klk1b5"
"1449148_a_at",-0.00098899999999876,9.2442815,-0.0189175386584273,0.985274733934717,0.999954907561919,-5.1278467423097,"Phtf1"
"1452206_at",0.000949499999999778,10.51677975,0.0187947744293449,0.985370280259673,0.999954907561919,-5.12784840963084,"Sucla2"
