"ID_REF"	"GSM958123"	"GSM958124"	"GSM958125"	"GSM958126"	"GSM958127"	"GSM958128"	"GSM958129"	"GSM958130"
"1419724_at"	5.703803	5.787655	5.764971	5.685983	5.853963	5.751994	5.874256	5.903071
"1419725_at"	5.648114	5.455896	5.623566	5.906913	5.652376	5.734351	5.752853	5.963113
"1419726_at"	4.706628	4.788609	5.020502	4.808022	4.850026	4.661155	4.8399	4.994188
"1419727_at"	4.465379	4.535135	4.258124	4.65176	4.500674	4.548441	4.587774	4.501356
"1419728_at"	4.102255	4.312455	4.2554	4.13954	4.333683	4.226732	4.437814	4.227973
"1419729_at"	4.537996	4.471863	4.601953	4.689498	4.339318	4.487058	4.514736	4.516569
"1419730_at"	9.054091	9.268683	8.921184	9.064032	9.147627	9.282984	8.961713	9.11696
"1419731_at"	4.976301	4.812635	4.763267	4.893385	4.986592	4.739197	5.051629	4.92342
"1419732_at"	7.890927	7.870682	7.99286	7.856303	8.05716	7.769857	7.976882	8.076155
"1419733_at"	4.405519	4.562922	4.389937	4.372739	4.377849	4.545207	4.425921	4.456371
"1419734_at"	11.510836	11.628382	11.713798	11.590171	11.761192	11.758598	11.617122	11.563906
"1419735_at"	5.614446	5.661111	5.944926	5.703293	5.66701	5.498885	5.843133	5.879496
"1419736_a_at"	12.401208	12.396281	12.383596	12.364966	12.381263	12.376073	12.353177	12.3669
"1419737_a_at"	14.348984	14.420586	14.367332	14.422906	14.369069	14.381259	14.438153	14.414051
"1419738_a_at"	6.401001	6.304113	6.335626	6.380344	6.556934	6.212476	6.525135	6.435584
"1419739_at"	6.427259	6.218195	6.556109	6.339962	6.258896	6.240319	6.660744	6.514233
"1419740_at"	5.724819	5.733709	5.99864	5.822762	6.015207	5.834455	5.949988	6.011702
"1419741_at"	11.534018	11.521971	11.510164	11.606726	11.664939	11.363847	11.629199	11.528544
"1419742_at"	8.131551	7.962533	8.020209	7.889737	8.201663	8.045648	8.100605	8.161357
"1419743_s_at"	10.40991	10.142625	10.009744	10.016572	10.285916	10.174762	9.997663	10.018208
"1419744_at"	7.2946	8.377193	7.675282	8.20698	7.264745	8.164298	7.774802	8.16647
"1419745_at"	7.604923	7.284719	7.854195	7.664284	7.415602	7.517843	7.443645	7.516285
"1419746_at"	4.790049	5.035911	4.95456	4.819189	4.957542	4.861031	5.120203	4.971837
"1419747_at"	5.348153	5.27876	5.421195	5.347952	5.243787	5.378856	5.356711	5.3032
"1419748_at"	4.871746	4.963753	5.13551	5.094116	5.032735	5.071004	5.563106	5.094477
"1419749_at"	7.77253	7.7484	7.623905	7.837909	7.804064	7.530299	7.747758	7.772074
"1419750_at"	5.120643	4.98895	5.239688	4.988098	5.289181	5.178333	5.361446	5.372647
"1419751_x_at"	4.222004	4.346567	4.268138	4.373497	4.337326	4.310241	4.302637	4.438656
"1419752_at"	8.87883	8.784613	8.671944	8.786837	8.852331	8.780768	8.733514	8.766063
"1419753_at"	8.409355	8.258915	7.979708	8.037901	8.402984	8.125279	8.164058	8.097429
"1419754_at"	7.709322	7.718564	7.768865	7.873932	7.713844	7.880416	7.754632	7.792194
